Marca temporal,What is your gender?,"What is your age? (In years. Ej, 27)","What is your height? (in centimeters. Ej, 166)","What is your ape index? (Full armspan minus height). *If you don't know it, put 0",How much do you weight? (In kg),Do you study or work?,What continent do you live in?,In which country do you live or climb at the most?,How often do you visit gyms/crags on states or countries other than the one you live in?,"If you plan a vacation, it is most likely intended as a...",Which describes you the best?,Which describes you the best?,How many years have you been climbing?,Is/was any of your parents a climber?,Why do you climb? ,On average how many days do you climb in a week?,How many of those are indoors?,"How many of those do you consider ""training"" sessions?","In case you train, how do you train?",How long are your training sessions on average?,"In case you train at a gym, what facilities does it include?","In case you climb indoors, do you climb indoors to improve your outdoors climbing, or is indoors climbing an end in itself?","Select the 5 aspects you personally put most of your efforts for improvement, regardless of it being in or out the gym",How tight do you get your climbing shoes?,Do you follow a specific diet?,Do you REGULARLY practice any other sport besides climbing?,What is the first thing you do when you get to the cym/crag?,What is your hardest indoor onsight/flash boulder grade?,What is your hardest indoor projected boulder grade?,What is your hardest outdoor onsight/flash boulder grade?,What is your hardest outdoor projected boulder grade?,"What grade do you feel a 80+% confidence to say ""I can most likely flash that""? ","What grade do you feel a 80+% confidence to say ""I can most likely send that""? ",What is the first thing you do when you get to the cym/crag?,How many routes do you normally climb in a day? (#),What is your hardest onsight/flash grade?,What is your hardest redpoint/projected grade?,"What grade do you feel a 80+% confidence to say ""I can most likely onsight/flash that""? ","What grade do you feel a 80+% confidence to say ""I can most likely finish that, even if i fall (no send)""","On your first attempt on a new project/route/problem at or above your current max grade, you normally...","When projecting SPORTS, how many attempts would you have on your projected route on the same day?",Which do you feel is usually your best performance on a project or hard route?,"When projecting, do you purposely try to visit the same crag in order to focus on your route, or do you simply work it when you happen to go back there?"
5/2/2020 23:17,Male,23,180,0,70,Work fulltime,North America,Mexico,Never,Completely non-climbing trip,Indoor climber,Both rather equally,3,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you",3,3,3,I just climb more,1 to 2 hours,"Tope rope area (without autobelay), Hang board, campus board, finger board or similar",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Endurance, Power endurance, Flexibility",Tight fit,"No, I eat anything",Yes,Stretch and warmup (before climbing),V4,V6,V2,V3,V4,V5,Stretch and warmup (before climbing),3,5.10a / 6a+,5.11c / 6c+,5.9 / 6a,5.10b / 6a+,Climb it while resting on every other bolt to explore the moves (sports),Usually 2 attempts per day,2nd attempt of the day,I do not project
5/2/2020 23:18,Female,19,163,7,56,Study,Center or South America,México,Around twice a year,Completely a climbing trip,Both rather equally,Both rather equally,1.5,No,"Fun of the activity in itself, For the challenge",6,4,4,Follow a training program with a coach,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Endurance, Power endurance, Cardio",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V5,V7,V2,V6,V4,V6,"Climb an easy route, meant as a warmup",3,5.10c / 6b,5.11d / 7a,5.11b / 6c,5.12b / 7b,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again
5/2/2020 23:24,Male,20,173,0,65,Study and work,Center or South America,Mexico,More than once per month,Mainly climbing trip but something else as well,Indoor climber,Boulderer,4,No,For the challenge,3,1,0,I do not train,I do not train,"Bouldering area, Moonboard or similar",I indoor climb because i like indoor climbing,"Finger strength, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems, Explosive power",Normal fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V6,V7,V4,V4,V5,V6,Stretch and warmup (before climbing),3,5.11d / 7a,5.12c / 7b+,5.11c / 6c+,5.12c / 7b+,Climb it while resting on every other bolt to explore the moves (sports),Usually 2 attempts per day,1st attempt of the day,I purposely go to the same crag to keep going at it
5/2/2020 23:30,Male,24,174,0,67,Study and work,Center or South America,Mexico,More than once per month,Trip that might have some climbing,Both rather equally,Sports climber,2,No,"Fun of the activity in itself, Health, For the challenge",2,1,1,I perform random exercises as they feel appropiate,1 to 2 hours,Tope rope area (without autobelay),I indoor climb to improve my outdoor climbing,"Finger strength, Endurance, Power endurance, Trying more/different routes/problems, Explosive power",Normal fit,Other,Yes,Stretch and warmup (before climbing),V3,V3,V3,V5,V3,V5,Stretch and warmup (before climbing),5,5.9 / 6a,5.10b / 6a+,5.9 / 6a,5.10a / 6a+,Climb it while resting on every other bolt to explore the moves (sports),Usually 1 one attempt per day,1st attempt of the day,I do not project
5/2/2020 23:31,Male,34,175,5,72,Work fulltime,Asia,Hong Kong,Around twice a year,Trip that might have some climbing,Both rather equally,Both rather equally,10,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,2,2,Follow a training program by myself,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V7,V9,V7,V10,V6,V7,"Climb an easy route, meant as a warmup",2,5.12a / 7a+,5.13d /8b,5.11b / 6c,5.12c / 7b+,Try the holds and moves individually first (boulder),Usually 3 attempts per day,Last attempt of the day,I purposely go to the same crag to keep going at it
5/2/2020 23:35,Female,29,168,-5,53,Work fulltime,Europe,Austria,Around every 2 months,Trip that might have some climbing,Indoor climber,Boulderer,4,No,"Fun of the activity in itself, Health, For the social part of climbing",2,2,0,I perform random exercises as they feel appropiate,Less than an hour,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb because i like indoor climbing,"Finger strength, Core strenght, Power endurance, Trying more/different routes/problems, Explosive power",Tight fit,Vegetarian + fish and/or milk,Yes,Stretch and warmup (before climbing),V5,V6,V0,V0,V4,V5,Stretch and warmup (before climbing),5,5.10d / 6b+,5.11b / 6c,5.10c / 6b,5.11c / 6c+,Top-rope it first (sports),Usually 3 attempts per day,2nd attempt of the day,I do not project
5/2/2020 23:36,Male,23,185,5,68,Work fulltime,Oceania,Canada,Around every 2 months,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,3,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",3,2,2,Follow a training program from a book or online course,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Footwork, Core strenght, Power endurance, Route/problem-specific sequences",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V6,V10,V4,V9,V4,V8,"Climb an easy route, meant as a warmup",4,5.12c / 7b+,5.13c / 8a+,5.12b / 7b,5.13d /8b,Climb it while resting on every other bolt to explore the moves (sports),Usually 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it
5/2/2020 23:38,Male,36,178,7,75,Work fulltime,North America,USA,Around every 2 months,Completely non-climbing trip,Both rather equally,Both rather equally,12,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",4,2,2,Follow a training program from a book or online course,2 to 3 hours,"Bouldering area, Lead climbing area, Tope rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strenght, Endurance, Power endurance, Explosive power",Tight fit,Other,No,"Climb easy problems, meant as a warmup",V9,V10,V6,V8,V6,V8,"Climb an easy route, meant as a warmup",15,5.11d / 7a,5.12c / 7b+,5.11c / 6c+,5.13a / 7c+,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,Random attempt,I would simply work on it whenever I happen to be there again
5/2/2020 23:39,Male,22,181,10,73,Study,North America,Mexico,Never,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,2,No,"Fun of the activity in itself, Health, The places it takes you, For the challenge",4,3,3,Follow a training program with a coach,1 to 2 hours,"Lead climbing area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strenght, Endurance, Power endurance, Explosive power",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V4,V5,V2,V3,V3,V5,"Climb an easy route, meant as a warmup",3,5.11c / 6c+,5.13a / 7c+,5.11b / 6c,5.12b / 7b,Top-rope it first (sports),Usually 2 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it
5/2/2020 23:42,Female,29,163,0,55,Work fulltime,North America,Mexico,Around thrice a year,Mainly climbing trip but something else as well,Both rather equally,Both rather equally,3,No,"Fun of the activity in itself, For the social part of climbing, I don�E��Et have anything more interesting to do lol",2,2,0,I just climb more,2 to 3 hours,"Bouldering area, Hang board, campus board, finger board or similar, Moonboard or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strenght, Power endurance, Flexibility, Explosive power","Very tight, borderline painful, fit",Vegetarian,Yes,Stretch and warmup (before climbing),V2,V3,V1,V2,V1,V3,Stretch and warmup (before climbing),5,5.10d / 6b+,5.11c / 6c+,5.10d / 6b+,5.11d / 7a,Top-rope it first (sports),Usually 3 attempts per day,Random attempt,I do not project
5/2/2020 23:43,Male,24,180,0,71,Work fulltime,North America,Mexico,Around twice a year,Trip that might have some climbing,Outdoor climber,Sports climber,1.5,Yes,Fun of the activity in itself,4,3,3,Follow a training program by myself,1 to 2 hours,Lead climbing area,I indoor climb to improve my outdoor climbing,"Footwork, Core strenght, Endurance, Trying more/different routes/problems, Flexibility",Tight fit,Vegetarian + fish and/or milk,Yes,Stretch and warmup (before climbing),V3,V4,V1,V2,V2,V2,Stretch and warmup (before climbing),4,5.11c / 6c+,5.11c / 6c+,5.10d / 6b+,5.11b / 6c,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again
5/2/2020 23:45,Male,27,167,0,72,Study,Center or South America,Chile,More than once per month,Trip that might have some climbing,Both rather equally,Boulderer,8,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",2,1,2,I perform random exercises as they feel appropiate,2 to 3 hours,"Bouldering area, Lead climbing area, Hang board, campus board, finger board or similar",I indoor climb because i like indoor climbing,"Finger strength, Footwork, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems","""Comfy fit""","No, I eat anything",Yes,Stretch and warmup (before climbing),V5,V8,V4,V7,V3,V4,Stretch and warmup (before climbing),4,5.10c / 6b,5.11c / 6c+,5.10d / 6b+,5.10c / 6b,Try the holds and moves individually first (boulder),Usually 2 attempts per day,3rd attempt of the day,I purposely go to the same crag to keep going at it
5/2/2020 23:47,Female,33,168,0,60,Work parttime,Europe,Switzerland,Around thrice a year,Mainly climbing trip but something else as well,Both rather equally,Sports climber,5,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",2,1,0,I perform random exercises as they feel appropiate,Less than an hour,,I indoor climb to improve my outdoor climbing,"Core strenght, Endurance, Route/problem-specific sequences, Trying more/different routes/problems, Flexibility",Normal fit,Vegetarian + fish and/or milk,Yes,"Climb easy problems, meant as a warmup",V0,V0,V0,V0,V0,V0,"Climb an easy route, meant as a warmup",10,5.10a / 6a+,5.11c / 6c+,5.8 / Fr(5) or lower,5.10b / 6a+,Climb it while resting on every other bolt to explore the moves (sports),Usually 3 attempts per day,Random attempt,I would simply work on it whenever I happen to be there again
5/2/2020 23:47,Male,25,180,1,68,Work parttime,Center or South America,Perú,Around thrice a year,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,2,No,The places it takes you,1,0,0,I do not train,I do not train,,I do not indoor climb,"Footwork, Endurance, Power endurance, Trying more/different routes/problems, Flexibility",Normal fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V4,V5,V3,V4,V3,V4,"Climb an easy route, meant as a warmup",7,5.10c / 6b,5.11a / 6b+,5.10b / 6a+,5.11b / 6c,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,1st attempt of the day,I would simply work on it whenever I happen to be there again
5/2/2020 23:49,Male,27,166,9,50,Work fulltime,North America,Mexico,Around twice a year,Completely a climbing trip,Outdoor climber,Sports climber,6,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",2,0,0,I do not train,I do not train,,I do not indoor climb,"Finger strength, Endurance, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Normal fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V5,V9,V4,V8,V3,V6,"Climb an easy route, meant as a warmup",5,5.12c / 7b+,5.12c / 7b+,5.11d / 7a,5.12b / 7b,Try to go for the onsight/flash (sports and boulder),Usually 1 one attempt per day,3rd attempt of the day,I do not project
5/2/2020 23:51,Male,31,167,0,64,Work fulltime,North America,Mexico,Around thrice a year,Mainly climbing trip but something else as well,Both rather equally,Both rather equally,10,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,2,1,I perform random exercises as they feel appropiate,1 to 2 hours,"Bouldering area, Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Footwork, Endurance, Route/problem-specific sequences, Cardio, Flexibility",Tight fit,"No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V2,V4,V2,V3,V2,V2,"Climb an easy route, meant as a warmup",3,5.10b / 6a+,5.11a / 6b+,5.10a / 6a+,5.11b / 6c,Climb it while resting on every other bolt to explore the moves (sports),Usually 2 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again
5/2/2020 23:52,Male,26,188,2,81,Work fulltime,North America,Australia ,Around once a year,Mainly climbing trip but something else as well,Both rather equally,Sports climber,3,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",3,3,3,Follow a training program by myself,2 to 3 hours,"Bouldering area, Lead climbing area, Tope rope area (without autobelay), Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strenght, Endurance, Route/problem-specific sequences, Trying more/different routes/problems","""Comfy fit""","No, I eat anything",Yes,"Climb easy problems, meant as a warmup",V4,V4,V0,V0,V3,V3,"Climb an easy route, meant as a warmup",6,5.11c / 6c+,5.11c / 6c+,5.10c / 6b,5.10c / 6b,Try to go for the onsight/flash (sports and boulder),Usually more than 3 attempts per day,Random attempt,I do not project
6/2/2020 0:02,Female,22,167,0,52,Study,North America,Mexico,Around once a year,Trip that might have some climbing,Both rather equally,Sports climber,3,No,"Fun of the activity in itself, The places it takes you, For the challenge",2,2,2,Follow a training program with a coach,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Power endurance, Trying more/different routes/problems, Flexibility",Tight fit,"No, I eat anything",No,"Climb easy problems, meant as a warmup",V9,V10,V9,V10,V8,V9,"Climb an easy route, meant as a warmup",5,5.10b / 6a+,5.11a / 6b+,5.9 / 6a,5.10a / 6a+,Top-rope it first (sports),Usually 2 attempts per day,2nd attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 0:04,Male,48,187,0,73,Work fulltime,Europe,Georgia,Around once a year,Trip that might have some climbing,Both rather equally,Sports climber,3,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you",2,1,2,Follow a training program by myself,1 to 2 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Finger strength, Core strength, Endurance, Power endurance, Cardio","Very tight, borderline painful, fit","No, I eat anything",Yes,Stretch and warmup (before climbing),V0,V0,V0,V0,V0,V0,Stretch and warmup (before climbing),8,5.10b / 6a+,5.10d / 6b+,5.9 / 6a,5.10b / 6a+,Top-rope it first (sports),Usually 2 attempts per day,1st attempt of the day,I do not project
6/2/2020 0:32,Female,27,174,0,63,Work fulltime,Europe,Switzerland ,Around thrice a year,Trip that might have some climbing,Outdoor climber,Sports climber,8,No,"Fun of the activity in itself, For the social part of climbing, The places it takes you, For the challenge",3,2,2,I just climb more,2 to 3 hours,"Bouldering area, Lead climbing area, Top rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar, Gym / weightlifting facilities",I indoor climb to improve my outdoor climbing,"Footwork, Core strength, Power endurance, Route/problem-specific sequences, Trying more/different routes/problems",Tight fit,Vegetarian,Yes,"Climb easy problems, meant as a warmup",V2,V3,V2,V3,V2,V3,"Climb an easy route, meant as a warmup",6,5.10c / 6b,5.12a / 7a+,5.10b / 6a+,5.11b / 6c,Climb it while resting on every other bolt to explore the moves (sports),Usually 3 attempts per day,Last attempt of the day,I would simply work on it whenever I happen to be there again
6/2/2020 0:33,Female,29,162,1,54,Study and work,Europe,Switzerland,Around every 2 months,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,3.5,No,"Fun of the activity in itself, For the social part of climbing, For the challenge",5,3,3,Follow a training program with a coach,2 to 3 hours,"Bouldering area, Lead climbing area, Tope rope area (without autobelay), Top rope area (with autobelay), Hang board, campus board, finger board or similar",I indoor climb to improve my outdoor climbing,"Finger strength, Core strenght, Endurance, Power endurance, Explosive power","Very tight, borderline painful, fit","No, I eat anything",No,Stretch and warmup (before climbing),V6,V6,V3,V4,V3,V4,"Climb an easy route, meant as a warmup",4,5.11d / 7a,5.12d / 7c,5.11a / 6b+,5.12b / 7b,Climb it while resting on every other bolt to explore the moves (sports),Usually 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it
6/2/2020 0:36,Male,40,175,0,70,Work fulltime,Europe,Italy,Around twice a year,Mainly climbing trip but something else as well,Outdoor climber,Sports climber,24,No,"Fun of the activity in itself, Health, For the social part of climbing, The places it takes you, For the challenge",2,1,1,I perform random exercises as they feel appropiate,Less than an hour,"Bouldering area, Moonboard or similar",I indoor climb to improve my outdoor climbing,"Footwork, Core strength, Power endurance, Flexibility, Explosive power",Tight fit,Vegetarian + fish and/or milk,Yes,"Climb easy problems, meant as a warmup",V4,V6,V5,V4,V3,V4,Stretch and warmup (before climbing),5,5.11b / 6c,5.12a / 7a+,5.11a / 6b+,5.11d / 7a,Try to go for the onsight/flash (sports and boulder),Usually 3 attempts per day,2nd attempt of the day,I purposely go to the same crag to keep going at it
